source,reservation_id,cost,seats,reservation_confirmed,reservation_finished,reservation_created_at,client_id,res_trip_id,stop_id,successfully_charged,reservation_active,pickup_stop_id,trip_id,trip_month,trip_week,trip_day,trip_period,trip_itinerary,trip_seat_inventory,van_id,seat_price,route_name,route_active,km_google,line_name,trip_cpt,client_first_reservation,client_prev_reservation,client_next_reservation,client_last_reservation,days_between_purchases,client_trip_number,client_first_trip,client_prev_trip,client_next_trip,client_last_trip,days_between_trips,res_to_trip_days,client_first_route,client_prev_route,client_next_route,client_last_route
Web,2683857,90,1,FALSE,FALSE,19/04/21 14:05,-1,511777,17554,TRUE,TRUE,17549,511777,1/4/2021 0:00,19/04/21 00:00,24/04/21 00:00,1/4/2021 0:00,5:00:00,20,236,90,CDMX - Pachuca,FALSE,108.02,Pachuca - CDMX,779.42,19/04/21 14:05,,19/04/21 15:37,22/05/21 20:28,,3,22/04/21 07:40,23/04/21 18:36,24/04/21 07:35,26/05/21 11:20,0.433333333,4.62095437,Querétaro - CDMX,CDMX - Querétaro,CDMX - Pachuca,CDMX - Pachuca
Web,2687397,90,1,FALSE,FALSE,23/04/21 21:59,-1,510154,17554,TRUE,TRUE,17549,510154,1/4/2021 0:00,19/04/21 00:00,24/04/21 00:00,1/4/2021 0:00,7:35:00,13,991,90,CDMX - Pachuca,FALSE,108.02,Pachuca - CDMX,779.42,19/04/21 14:05,21/04/21 18:58,25/04/21 14:21,22/05/21 20:28,2.125535802,4,22/04/21 07:40,24/04/21 05:00,25/04/21 05:00,26/05/21 11:20,0.107638889,0.399991452,Querétaro - CDMX,CDMX - Pachuca,CDMX - Pachuca,CDMX - Pachuca
Web,2683912,90,1,FALSE,FALSE,19/04/21 15:37,-1,511776,17554,TRUE,TRUE,17549,511776,1/4/2021 0:00,19/04/21 00:00,25/04/21 00:00,1/4/2021 0:00,5:00:00,20,236,90,CDMX - Pachuca,FALSE,108.02,Pachuca - CDMX,779.42,19/04/21 14:05,19/04/21 14:05,20/04/21 16:31,22/05/21 20:28,0.063533308,5,22/04/21 07:40,24/04/21 07:35,25/04/21 17:10,26/05/21 11:20,0.892361111,5.557421062,Querétaro - CDMX,CDMX - Pachuca,Querétaro - CDMX,CDMX - Pachuca
Web,2688666,90,1,FALSE,FALSE,26/04/21 15:41,-1,511790,17554,TRUE,TRUE,17549,511790,1/4/2021 0:00,26/04/21 00:00,27/04/21 00:00,1/4/2021 0:00,5:00:00,20,236,90,CDMX - Pachuca,FALSE,108.02,Pachuca - CDMX,779.42,19/04/21 14:05,25/04/21 14:21,29/04/21 12:29,22/05/21 20:28,1.055468713,7,22/04/21 07:40,25/04/21 17:10,30/04/21 09:30,26/05/21 11:20,1.493055556,0.554537072,Querétaro - CDMX,Querétaro - CDMX,Querétaro - CDMX,CDMX - Pachuca
Web,2685755,170,1,FALSE,FALSE,21/04/21 18:58,-1,510922,17754,TRUE,TRUE,17748,510922,1/4/2021 0:00,19/04/21 00:00,22/04/21 00:00,1/4/2021 0:00,7:40:00,20,829,170,Querétaro - CDMX,TRUE,230.76,Querétaro - CDMX,1264.2,19/04/21 14:05,20/04/21 16:31,23/04/21 21:59,22/05/21 20:28,1.101596571,1,22/04/21 07:40,,23/04/21 18:36,26/05/21 11:20,,0.528999476,Querétaro - CDMX,,CDMX - Querétaro,Querétaro - CDMX
Web,2684723,185,1,FALSE,FALSE,20/04/21 16:31,-1,508660,17747,TRUE,TRUE,17741,508660,1/4/2021 0:00,19/04/21 00:00,23/04/21 00:00,1/4/2021 0:00,18:36:00,18,512,185,CDMX - Querétaro,TRUE,231.19,Querétaro - CDMX,1137.0375,19/04/21 14:05,19/04/21 15:37,21/04/21 18:58,22/05/21 20:28,1.037936126,2,22/04/21 07:40,22/04/21 07:40,24/04/21 05:00,26/05/21 11:20,1.455555556,3.086151602,Querétaro - CDMX,Querétaro - CDMX,CDMX - Pachuca,CDMX - Querétaro
Web,2688054,185,1,FALSE,FALSE,25/04/21 14:21,-1,510935,17754,TRUE,TRUE,17748,510935,1/4/2021 0:00,19/04/21 00:00,25/04/21 00:00,1/4/2021 0:00,17:10:00,18,512,185,Querétaro - CDMX,TRUE,230.76,Querétaro - CDMX,1137.0375,19/04/21 14:05,23/04/21 21:59,26/04/21 15:41,22/05/21 20:28,1.682346778,6,22/04/21 07:40,25/04/21 05:00,27/04/21 05:00,26/05/21 11:20,0.506944444,0.11695023,Querétaro - CDMX,CDMX - Pachuca,CDMX - Pachuca,Querétaro - CDMX
Web,2691120,330,2,FALSE,FALSE,29/04/21 18:21,-1,513871,17754,TRUE,TRUE,17748,513871,1/4/2021 0:00,26/04/21 00:00,30/04/21 00:00,1/4/2021 0:00,9:30:00,20,406,165,Querétaro - CDMX,TRUE,230.76,Querétaro - CDMX,1280,19/04/21 14:05,29/04/21 12:29,29/04/21 18:45,22/05/21 20:28,0.244261807,8,22/04/21 07:40,27/04/21 05:00,30/04/21 13:20,26/05/21 11:20,3.1875,0.631227935,Querétaro - CDMX,CDMX - Pachuca,Guadalajara - Querétaro,Querétaro - CDMX
Web,2691139,500,1,FALSE,FALSE,29/04/21 18:45,-1,515982,18062,TRUE,TRUE,18056,515982,1/4/2021 0:00,26/04/21 00:00,30/04/21 00:00,1/4/2021 0:00,13:20:00,20,882,500,Guadalajara - Querétaro,TRUE,425.77,Querétaro - Guadalajara,2100,19/04/21 14:05,29/04/21 18:21,30/04/21 12:16,22/05/21 20:28,0.017270497,9,22/04/21 07:40,30/04/21 09:30,1/5/2021 5:00,26/05/21 11:20,0.159722222,0.77367966,Querétaro - CDMX,Querétaro - CDMX,CDMX - Querétaro,Guadalajara - Querétaro
App,2672592,214,2,TRUE,FALSE,31/03/21 10:42,1027,492245,16522,TRUE,TRUE,16516,492245,1/4/2021 0:00,29/03/21 00:00,2/4/2021 0:00,1/4/2021 0:00,11:00:00,20,821,107,CDMX - Tepoztlán - Cuernavaca,TRUE,120.47,Cuernavaca - CDMX,816,31/03/21 10:42,,1/4/2021 20:09,1/4/2021 20:09,,1,2/4/2021 11:00,,2/4/2021 19:45,2/4/2021 19:45,,2.012404615,CDMX - Tepoztlán - Cuernavaca,,Cuernavaca - Tepoztlán - CDMX ,CDMX - Tepoztlán - Cuernavaca
